campaign_id,source_minimum,family,geometry_sha256,result_sha256,total_energy_hartree,electronic_energy_hartree,d3_energy_hartree,global_force_rms_kcal_mol_a,sulfur_local_force_rms_kcal_mol_a,sulfur_atom_force_norm_kcal_mol_a,sulfur_force_projection_sc_kcal_mol_a,sulfur_force_projection_sh_kcal_mol_a,d3_global_gradient_rms_kcal_mol_a,d3_local_gradient_rms_kcal_mol_a,sc_distance_a,sh_distance_a,c_s_h_angle_deg,phi_deg,psi_deg,scf_cycles,runtime_seconds
TSLRSH-GPU-021,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,196c5a55e01826bfcfbbfc538770e5d20cd8339fad171a9cb7f10d64bd90a90b,5a81f890cba2d6a9abdcd1398cf7298d62de222d788f8e3afd67a8b5d6c7ee3d,-1477.7081746841243,-1477.6233527863478,-0.08482189777657026,18.426638337712202,43.06061674459912,67.39646163536834,20.211847957737085,25.34846957656695,0.32229203253930416,0.4608126003714236,2.0791523593231194,1.3893941979158568,88.19633591292708,179.99253134415844,60.00579245896937,17,4.739763999999923
TSLRSH-GPU-022,MIN02,FORCE_CLOUD_PERTURBATION,e01254cfc024eb4dbf6d3a59a8db63f3cd70f32d73f41e7b483da93a8c5b54f9,69eff168d2f7f34cfcec19d34d3d44b833287422fc6aea4bdd59088066e40b06,-1477.674937829329,-1477.589302292769,-0.08563553656007407,52.47154845258532,52.26425019886748,21.90814665300633,20.97227416933336,-7.218438155263642,0.3327677957674623,0.5048220274950866,1.918629599200223,1.3401483961094327,95.20899008086137,-47.324211203997834,-67.46531004525116,13,3.9706461599998875
TSLRSH-GPU-023,MIN02,FORCE_CLOUD_PERTURBATION,51a20bf271d9cfb9cd62a7e546adafcfb5d3ecec291103f9bc78ce0a070eb9e4,defca7d19faca85d39a85d67d7d75276b1769d36a0bd015b07ecd591e5e8900a,-1477.9065956958018,-1477.8212026530796,-0.08539304272225486,9.67642734963635,24.450255882330836,86.65668599853329,-6.46022789103365,86.63788311946088,0.34257821909337505,0.5535110253208605,1.857050569802673,1.6960768893692422,93.52064375922065,-89.38485314785818,-68.3157698609706,16,4.520512172000053
TSLRSH-GPU-024,MIN02,FORCE_CLOUD_PERTURBATION,a4e51527b487687e267ccc670776d3ba14bb66755306322b16ce9209cefd9678,8e9b5eddf8d0bb5b125fe001dd14d92f25d7d6b5df36162a9f035da663a562da,-1477.6208984325783,-1477.5355111748372,-0.08538725774114429,52.209711610014686,65.44256548786846,45.28134235947141,-40.70828317627967,-14.113603329955442,0.4501316751002759,0.4713754484431943,1.748047077396918,1.3453490245703774,97.53267840116493,-52.74740368218904,-68.49573791062718,15,4.3300098190002245
TSLRSH-GPU-025,MIN02,OTHER_EXISTING_GEOMETRY,45a31038c11144b3692aae8fd02cbbc08cb06b0227e70890b9d9813fe4615ea8,c74a06def8986e574903ee1745d9520a0ed125f4a1cbac6d477d4fdeda87a2c6,-1477.9238657137755,-1477.8393684825523,-0.08449723122307704,9.029968172589124,8.300562674744295,24.969802927037463,18.48491065946708,14.779395443980173,0.3197449137378213,0.4642628415015906,1.9185702836545877,1.3872420894874162,95.87674141796012,-179.99639512761993,-65.5411279823343,16,4.449372449000293
TSLRSH-GPU-026,MIN02,FORCE_CLOUD_PERTURBATION,07aecd8219eb9a62c89daf17b69cb1c888d583499dc2720c4c7c206009c3913d,88ed53f15b53991c74bbe5e923e31c07394102d3068434f5af7a4f37fa292c38,-1477.7659296413822,-1477.6802577196468,-0.08567192173551003,43.74765374525743,39.223460585033585,41.00400299867805,-40.7392562355112,7.795091982333433,0.3287261134711651,0.4687170527109254,1.7660190214296942,1.3804675873136207,94.94788222840651,-48.98326792707379,-70.47843211738216,17,4.636364578999746
TSLRSH-GPU-027,MIN02,FORCE_CLOUD_PERTURBATION,66b80b07dacfc44d1fcb1f303f20562427529e586df689e7026be144981a2d1a,d2c0e58d76b3125f36ddceedec711a5af36fae1de380ad60d161c9b0717132b9,-1477.8187013121822,-1477.7331811985518,-0.08552011363022292,37.94490879700912,39.22251314741148,24.55114452020256,21.69622656172538,9.94960926184243,0.3264062512234205,0.46850833950586585,1.9025238337915373,1.3670996495432415,93.873136837438,-51.836373746408384,-64.40102479670972,15,4.270445886999823
TSLRSH-GPU-028,MIN02,FORCE_CLOUD_PERTURBATION,4d6d2620f297636f0b22ef0a3ca7e3a43737adbc03a4b9c9b65ebed8bbd979c8,a598fd2efdc6eaa9b9b76529ac762931c79bcfbe25208adf1c5660f877308b00,-1477.8601975989745,-1477.774560081681,-0.08563751729348983,30.416793046191188,40.16127030661291,14.621722894154486,3.2778874751239147,13.870707673855946,0.3247909599109848,0.46760648353287815,1.8933401813351192,1.3839256213317568,94.15780968921433,-54.528007543310586,-67.0213325380546,15,4.302208724000138
TSLRSH-GPU-029,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,df18f502db391fdcd9aedcf20e5eeae94232bd641f7897326d3a647e976e683c,60993644cdee12803ce01aa9244185b964d08981860fcaa00292515b96a5935f,-1477.9361843116603,-1477.8504209442463,-0.08576336741399855,2.9614400004903816,3.1609317933594387,7.140747341004023,5.523407709491137,3.3738778926712274,0.3250583081109364,0.4700084815134574,1.879358858976679,1.3629405733803523,94.58687051227074,-60.000680626740525,-60.005812707861274,15,4.2849164939998445
TSLRSH-GPU-030,MIN02,TORSIONAL_OR_CONSTRAINED_TRAJECTORY,7b6e5e1c82ebe92523d563b4969c548108930c89d7d2bb76115c7e19dd85daca,169be2d653f25a1d755e5a5bd3b3ac6824b16e505af840d818c42815e082308f,-1477.924681716729,-1477.840141825035,-0.08453989169410463,9.059300392891537,8.200323963265605,22.25921947751274,17.784987487307678,11.468916722040197,0.32026286274112487,0.46472982451585926,1.9225075333441985,1.3849073763026776,94.91443342784078,-59.9999265860556,-60.00965516254692,16,4.489496153000346
