dimension,evidence_hash,molecule_id,calculation_type,protocol_key,acceptance,source_path,source_sha256
"QUANTUM","77273ff72372de1bbddc15189ac1167f1bcad04647a8a78c3c54949f88e7e093","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-9/09_MIN01_O1_ACCEPTOR_2.8/geometry.xyz","93366d6ccec990b2725bf661d72c60c15c649f690baa4db84138a7941cd8d6db"
"QUANTUM","78289833067a1c222b9c34aac6cb78a0bdd204034f2ac57e28b8e4fc31a6806f","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","EXCLUDED_BY_PROTOCOL","execution-unit-05O/vdw-probe-validation-aws/point-15/15_MIN01_O3_ACCEPTOR_2.8/geometry.xyz","b754a0b9b567c17f5a8a8428b9f002b7ec89ad87024d0f819fa3fe8b726b2221"
"QUANTUM","7ab17db73ba354ec0e7239032fe309112eb441e3f8aecb4468c92dda6f27be81","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05F/dft-2d/phi060_psi+060.xyz","217b89058443e983e78a4d79261da34ca65aeef28f306c2210821f643f35786c"
"QUANTUM","7f0cdf6b09568fc99ee74ec2bf753c8367494aac0387c23c4b1bbf5bff0468a3","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN04_SH_DONOR_2.8A/result.json","9995a5f397ff46bc483001bb1c461d334a5abb601ca8c27bda2842c3242c236f"
"QUANTUM","82f0194ae7e2d3726a02dabd497ece5d2d375566104ee9b5179d483aa4709213","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/replacement-sh-donor-qm-local/MIN04_SH_DONOR_1.7A/result.json","744d1bceb406a5f182dae28be95e408fb83b9a099d922e973218e58fb4fd229f"
"QUANTUM","861664622085d0597533d9397862d7cce875a782d4d0369ffc16e5c15bb784a2","TSL-RSH","COUNTERPOISE_INTERACTION","PBE0|def2-TZVP|D3(BJ)|none|true|PySCF|2.14.0","ACCEPTED","execution-unit-05O/vdw-probe-validation-aws/point-2/02_MIN01_S_ACCEPTOR_2.8/geometry.xyz","ba8d0fffcb229170351bae2f8d89e79e4a25d4beb98aa499068d30f9539a36ea"
"QUANTUM","8ae30445beef4feca25ea1af4196281e393e414dd68b02e94b183fb720138842","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|unknown|unknown","ACCEPTED","execution-unit-05G/attempts/phi300_psi060_neighbor_seed/final.xyz","9bec879217a16f5146c7826d36457d054577e7303e341d347e5c51f3fa430c07"
"QUANTUM","981afa9816c2c557ce94d4e7f67e214c6af0542f03cd153566a2378d56aa684e","TSL-RSH","OPTIMIZATION","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/qm-native-minima/MIN04/result.json","68e123edc1b89f173caf2da110047b74c3a95b8b95d6574c292e585738eccc7f"
"QUANTUM","993441766f6927098633a09c6db2c8169bc5628866b71b1481ed0e415711bd63","TSL-RSH","SINGLE_POINT","PBE|def2-SVP|D3(BJ)|none|false|PySCF|2.14.0","ACCEPTED","execution-unit-05L/points/phi300_psi060_B_m10/final.xyz","7363908743bb53d48bd86111d7ac5fe2270148ba530619321f6342704bdbc2e3"
"QUANTUM","a3313240b3c3f88080546320e640584d19ce6fd92bfb33e366ecb6ab1bfdbeff","TSL-RSH","HESSIAN","PBE|def2-SVP|D3(BJ)|gas|false|PySCF|2.14.0","ACCEPTED","execution-unit-05O/hessians/MIN01/result.json","74dbbdbe5266ff8d484e7897cbc574e2353d44b101ba373b71b76eebd090b5ec"
