evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00046,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47315411109367567,0.2617008678567433,0.6326967076261912,0.002555506133118103,0.6352522137593093
EVAL_00047,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47515411109367567,0.2617008678567433,0.6326617934771516,0.002591370790893091,0.6352531642680447
EVAL_00048,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47315411109367567,0.2637008678567433,0.6326766787371068,0.002574658271975182,0.635251337009082
EVAL_00049,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316320033257786,0.26169737449397035,0.6326973898821958,0.002555635227777605,0.6352530251099734
EVAL_00050,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516320033257786,0.26169737449397035,0.6326617579003785,0.0025915013398308175,0.6352532592402093
EVAL_00051,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316320033257786,0.26369737449397035,0.6326765559103525,0.0025747868076966404,0.6352513427180492
EVAL_00052,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316321150268786,0.2616973702008445,0.6326964463707613,0.002555635386431589,0.6352520817571928
EVAL_00053,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516321150268787,0.2616973702008445,0.6326616602462681,0.0025915015002720195,0.6352531617465401
EVAL_00054,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316321150268786,0.2636973702008445,0.6326742984938981,0.0025747869656637242,0.6352490854595618
EVAL_00055,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316321708769876,0.2616973680542985,0.6326965944997581,0.002555635465757959,0.6352522299655161
EVAL_00056,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47516321708769876,0.2616973680542985,0.6326617194351263,0.0025915015804919904,0.6352532210156183
EVAL_00057,CHI,optimization,0.13,0.0,0.15,0.155555556,0.47316321708769876,0.2636973680542985,0.6326765266381483,0.0025747870446466464,0.635251313682795
EVAL_00058,PHI,optimization,0.13,0.0,0.15,0.155555556,0.25,0.143,14.10955825792238,0.0,14.10955825792238
EVAL_00059,PHI,optimization,0.132,0.0,0.15,0.155555556,0.25,0.143,14.113465457611916,1.600000000000003e-07,14.113465617611917
EVAL_00060,PHI,optimization,0.13,0.0,0.15,0.157555556,0.25,0.143,14.166007729496492,1.600000000000003e-07,14.166007889496493
EVAL_00061,PHI,optimization,0.0,0.0,0.15,0.0,0.25,0.143,10.618885372422335,0.0016439012400987657,10.620529273662434
EVAL_00062,PHI,optimization,0.002,0.0,0.15,0.0,0.25,0.143,10.617321547397925,0.0016232612400987657,10.618944808638023
EVAL_00063,PHI,optimization,0.0,0.0,0.15,0.002,0.25,0.143,10.649682060557005,0.0016191723511387657,10.651301232908144
EVAL_00064,PHI,optimization,0.017105178408186157,0.0,0.15,0.0,0.25,0.143,10.606481301996164,0.0014777108697886648,10.607959012865953
EVAL_00065,PHI,optimization,0.01910517840818616,0.0,0.15,0.0,0.25,0.143,10.605188248062003,0.0014598076983339747,10.606648055760337
EVAL_00066,PHI,optimization,0.017105178408186157,0.0,0.15,0.002,0.25,0.143,10.637858663446266,0.001452981980828665,10.639311645427096
EVAL_00067,PHI,optimization,0.09909240304080512,0.0,0.15,0.0,0.25,0.143,10.567007972825877,0.001006112422090447,10.568014085247967
EVAL_00068,PHI,optimization,0.10109240304080512,0.0,0.15,0.0,0.25,0.143,10.566275490018844,0.0010013272065769758,10.567276817225421
EVAL_00069,PHI,optimization,0.09909240304080512,0.0,0.15,0.002,0.25,0.143,10.600777518382744,0.0009813835331304469,10.601758901915874
EVAL_00070,PHI,optimization,0.20445706965661978,0.0,0.15,0.0,0.25,0.143,10.551596179572064,0.0011896554489727949,10.552785835021037
EVAL_00071,PHI,optimization,0.20645706965661978,0.0,0.15,0.0,0.25,0.143,10.551519880812041,0.001201728580117854,10.552721609392158
EVAL_00072,PHI,optimization,0.20445706965661978,0.0,0.15,0.002,0.25,0.143,10.588134559197618,0.0011649265600127948,10.58929948575763
EVAL_00073,PHI,optimization,0.21451158039580992,0.0,0.15,0.0,0.25,0.143,10.552230123293773,0.0012535895289386633,10.553483712822711
EVAL_00074,PHI,optimization,0.21651158039580992,0.0,0.15,0.0,0.25,0.143,10.552475577014647,0.001267271381801993,10.55374284839645
EVAL_00075,PHI,optimization,0.21451158039580992,0.0,0.15,0.002,0.25,0.143,10.589247251053255,0.0012288606399786634,10.590476111693233
EVAL_00076,PHI,optimization,0.20564818918352637,0.0,0.15,0.0,0.25,0.143,10.551670488035944,0.0011968071811686294,10.552867295217112
EVAL_00077,PHI,optimization,0.20764818918352637,0.0,0.15,0.0,0.25,0.143,10.551827808176355,0.0012090708914379938,10.553036879067793
EVAL_00078,PHI,optimization,0.20564818918352637,0.0,0.15,0.002,0.25,0.143,10.588207161212036,0.0011720782922086295,10.589379239504245
EVAL_00079,PHI,optimization,0.2045676918487315,0.0,0.15,0.0,0.25,0.143,10.55163611526083,0.0011903148668046606,10.552826430127634
EVAL_00080,PHI,optimization,0.2065676918487315,0.0,0.15,0.0,0.25,0.143,10.551528082417905,0.001202405697500458,10.552730488115404
EVAL_00081,PHI,optimization,0.2045676918487315,0.0,0.15,0.002,0.25,0.143,10.588109236996246,0.0011655859778446607,10.58927482297409
EVAL_00082,PHI,optimization,0.20445855386823025,0.0,0.15,0.0,0.25,0.143,10.55163115697314,0.0011896642898646915,10.552820821263005
EVAL_00083,PHI,optimization,0.20645855386823025,0.0,0.15,0.0,0.25,0.143,10.551502993230924,0.0012017376584836084,10.552704730889408
