enzyme,state,seed,mode,vina_score,family,protein_pairs_lt_1p8,protein_pairs_1p8_2p2,sam_min_distance_a,sam_pairs_lt_2,sam_pairs_2_2p5,strain_kcal_mol,burial_reduction_percent,physical_pass
7B,monocation,483271,6,-7.179,3,0,0,3.579808654104295,0,0,35.33541589251254,60.25894703583355,False
7B,monocation,483271,7,-7.107,1,0,0,3.7783420967403156,0,0,24.608603429252085,61.37257691907987,False
7B,monocation,483271,8,-7.068,5,0,0,6.746190184096503,0,0,34.808681648663914,53.598226448288315,False
7B,monocation,483271,9,-7.036,2,0,0,3.6025242539086397,0,0,31.83418745810357,61.67905451289175,False
7B,monocation,483271,10,-7.007,4,0,0,3.8097992073073876,0,0,38.21541001749629,64.13120305469553,False
7B,monocation,483271,11,-6.9,1,0,0,3.488060349248563,0,0,30.639019316504964,59.172548918864784,False
7B,monocation,483271,12,-6.894,10,0,0,10.660418988013557,0,0,27.74666206271239,54.844082149147624,False
7B,monocation,483271,13,-6.864,5,0,0,7.12866474173109,0,0,36.698522080857856,53.669562047201545,False
7B,monocation,483271,14,-6.796,7,0,0,6.274841272892885,0,0,34.73768133542493,51.60254437053367,False
7B,monocation,483271,15,-6.708,16,0,0,3.2967587112192485,0,0,42.548269196251965,58.61724423843373,False
7B,monocation,483271,16,-6.662,12,0,0,3.2779449354740544,0,0,32.59824630884478,57.56119522670159,False
7B,monocation,483271,17,-6.656,13,0,0,8.188029616458406,0,0,25.03175530825711,56.52275121760732,False
7B,monocation,483271,18,-6.637,4,0,0,3.68783052755953,0,0,45.369572555849196,61.343095465762474,False
7B,monocation,483271,19,-6.523,2,0,0,3.3687779683440113,0,0,38.66357687482635,59.441227611098086,False
7B,monocation,483271,20,-6.52,17,0,0,9.286771021189226,0,0,37.25536701398618,52.20992432373152,False
7B,monocation,806519,1,-7.574,1,0,0,3.1837884665913347,0,0,35.05621536056025,62.155896781708456,False
7B,monocation,806519,2,-7.465,2,0,0,3.2726070647115586,0,0,40.81411332803214,62.592009603962325,False
7B,monocation,806519,3,-7.392,6,0,0,4.435949729201178,0,0,34.95867584887974,60.83260181289389,False
7B,monocation,806519,4,-7.341,3,0,0,4.315542376109868,0,0,42.52254175686738,59.068837671759375,False
7B,monocation,806519,5,-7.25,3,0,0,3.5911631820344785,0,0,35.7771786451455,60.97709841551871,False
7B,monocation,806519,6,-7.234,1,0,0,3.7820021152823284,0,0,24.858919453260235,62.05295502935616,False
7B,monocation,806519,7,-7.149,1,0,0,3.3589288471177836,0,0,33.78186408162598,62.215690899670406,False
7B,monocation,806519,8,-7.145,5,0,0,7.966529859355326,0,0,37.442811403083425,53.45596294482681,False
7B,monocation,806519,9,-7.127,7,0,0,6.656875092714299,0,0,26.22750601523299,59.92968316334707,False
7B,monocation,806519,10,-7.118,4,0,0,3.5817861466033953,0,0,31.81581126766082,63.43097623241294,False
7B,monocation,806519,11,-7.089,4,0,0,3.806928683335164,0,0,38.474560300762604,63.46319282632345,False
7B,monocation,806519,12,-7.064,2,0,0,3.699587544578449,0,0,35.53898563994834,62.2993281998542,False
7B,monocation,806519,13,-7.041,9,0,0,11.53685251704294,0,0,36.52498591270958,56.27627377004675,False
7B,monocation,806519,14,-6.938,5,0,0,7.134379931010122,0,0,37.7030799234828,53.4109564301212,False
7B,monocation,806519,15,-6.916,9,0,0,11.964267048173072,0,0,38.925904222749885,52.87875876503746,False
7B,monocation,806519,16,-6.876,8,0,0,3.9372538653228846,0,0,25.727323390216583,57.40443730698445,False
7B,monocation,806519,17,-6.825,13,0,0,8.659409564167754,0,0,23.37242452563663,55.18819628740564,False
7B,monocation,806519,18,-6.809,11,0,0,7.159320079448887,0,0,29.480197645458276,54.963705311580426,False
7B,monocation,806519,19,-6.728,18,0,0,7.871439830170845,0,0,35.995250577612644,54.86400593431603,False
7B,monocation,806519,20,-6.683,19,0,0,7.407326913266352,0,0,37.31307287384128,50.96688451093112,False
