evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N1_PHASE0,PHI_N2_PHASE180,PSI_N1_PHASE0,equal_surface_profile_mse,regularization,objective
EVAL_00027,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.0076170938536716795,6.770193589917015,0.007677376002458464,6.777870965919473
EVAL_00028,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617093853671679,6.765269700423104,0.00767756068621261,6.772947261109317
EVAL_00029,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617210029877938,6.765199209339218,0.0076772160201571,6.772876425359375
EVAL_00030,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617210029877938,6.766066781526237,0.007607282889874501,6.773674064416111
EVAL_00031,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617210029877938,6.770199790058982,0.0076773760201571,6.777877166079139
EVAL_00032,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617210029877938,6.765276159424951,0.007677560708558295,6.772953720133509
EVAL_00033,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617133353581808,6.765265257180322,0.0076772160084759705,6.772942473188798
EVAL_00034,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617133353581808,6.766050072860987,0.007607282878193372,6.77365735573918
EVAL_00035,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617133353581808,6.770201217848967,0.0076773760084759704,6.777878593857443
EVAL_00036,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617133353581808,6.765270184898391,0.007677560693810113,6.772947745592201
EVAL_00037,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.007617210029304585,6.765199209339218,0.007677216020157013,6.7728764253593745
EVAL_00038,optimization,0.0,0.0,0.4731632226729102,1.998,0.26169736590767545,0.0,2.0,0.0,0.007617210029304585,6.766066781526237,0.007607282889874415,6.773674064416111
EVAL_00039,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.002,2.0,0.0,0.007617210029304585,6.770199790058982,0.007677376020157013,6.777877166079139
EVAL_00040,optimization,0.0,0.0,0.4731632226729102,2.0,0.26169736590767545,0.0,2.0,0.0,0.009617210029304584,6.765276159424951,0.007677560708558184,6.772953720133509
