evaluation_id,purpose,LOCAL_TYPE_1,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_2,LOCAL_TYPE_30,LOCAL_TYPE_7,PHI_N2_PHASE180,equal_surface_profile_mse,regularization,objective
EVAL_00057,optimization,0.20588127479805407,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109475203134,10.881499344538184,1.1856071185872155e-07,10.881499463098896
EVAL_00058,optimization,0.20788127479805407,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109475203134,10.88158657046327,4.825946485803147e-07,10.881587053057919
EVAL_00059,optimization,0.20588127479805407,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0023133109475203134,10.895927355143433,2.7856071185872154e-07,10.895927633704146
EVAL_00060,optimization,0.20588127479805407,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004313310947520313,10.881645994155079,2.51093149759534e-07,10.881646245248229
EVAL_00061,optimization,0.16540746894475397,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.97155968732097,6.14611900753076e-05,10.971621148511046
EVAL_00062,optimization,0.16740746894475397,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.971447168707867,5.5349415075501166e-05,10.971502518122943
EVAL_00063,optimization,0.16540746894475397,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0,10.89736395072911,6.16211900753076e-05,10.897425571919186
EVAL_00064,optimization,0.16540746894475397,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002,10.971537916311506,6.150119007530759e-05,10.971599417501581
EVAL_00065,optimization,0.20575512178548222,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002306100636815992,10.88156763587412,1.0599447334185604e-07,10.881567741868594
EVAL_00066,optimization,0.20775512178548222,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002306100636815992,10.881585612687152,4.498439280519531e-07,10.88158606253108
EVAL_00067,optimization,0.20575512178548222,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002306100636815992,10.89576437808128,2.6599447334185603e-07,10.895764644075753
EVAL_00068,optimization,0.20575512178548222,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.0043061006368159925,10.881680104677807,2.382384988144958e-07,10.881680342916306
EVAL_00069,optimization,0.20587964139724427,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313217649473806,10.881499011729167,1.1838986751911351e-07,10.881499130119034
EVAL_00070,optimization,0.20787964139724427,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313217649473806,10.881580229589213,4.821624601111381e-07,10.881580711751672
EVAL_00071,optimization,0.20587964139724427,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313217649473806,10.895842323989351,2.783898675191135e-07,10.895842602379219
EVAL_00072,optimization,0.20587964139724427,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.004313217649473806,10.88162703536836,2.5091857349806573e-07,10.881627286286934
EVAL_00073,optimization,0.2058780434580281,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313126318048443,10.881515043122532,1.1822293624117368e-07,10.881515161345467
EVAL_00074,optimization,0.2078780434580281,0.0,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313126318048443,10.881575215038694,4.817398585586113e-07,10.881575696778553
EVAL_00075,optimization,0.2058780434580281,0.002,0.4731632226729102,1.5619179357337627,0.26169736590767545,0.0,0.002313126318048443,10.895926312468504,2.782229362411737e-07,10.89592659069144
