axis,angle_degrees,qm_energy_hartree,candidate_id,archive_member,qm_energy_kcal_mol_absolute,mm_bond_kcal_mol_absolute,mm_angle_kcal_mol_absolute,mm_dihedral_kcal_mol_absolute,mm_imp_kcal_mol_absolute,mm_elec_kcal_mol_absolute,mm_vdw_kcal_mol_absolute,mm_elec_14_kcal_mol_absolute,mm_vdw_14_kcal_mol_absolute,mm_tot_kcal_mol_absolute,qm_relative_kcal_mol,mm_relative_kcal_mol,qm_minus_mm_relative_kcal_mol,mm_bond_relative_to_component_min_kcal_mol,mm_angle_relative_to_component_min_kcal_mol,mm_dihedral_relative_to_component_min_kcal_mol,mm_imp_relative_to_component_min_kcal_mol,mm_elec_relative_to_component_min_kcal_mol,mm_vdw_relative_to_component_min_kcal_mol,mm_elec_14_relative_to_component_min_kcal_mol,mm_vdw_14_relative_to_component_min_kcal_mol
CHI,120,-1477.9378294367405,e3e4f8139e8687d89679,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/e3e4f8139e8687d89679/final.xyz,-927419.9899545506,2.740223972493902,13.919104484183507,75.03477780258015,0.0,-49.175754766303164,-0.9552939559261056,15.841454361649966,13.418459945147458,70.82297184382571,3.737335012294352,2.17625658481667,1.5610784274776819,0.019554246313332246,1.2717124153441421,1.5669111329155214,0.0,0.4080123147908168,0.0,1.7345520263254315,0.030633946385183464
CHI,135,-1477.9377247869083,0f6f231a99ae46e3824a,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/0f6f231a99ae46e3824a/final.xyz,-927419.9242857896,2.7400180191012495,13.888464903938182,74.90666532324983,0.0,-49.316938791762915,-0.9018373997383418,15.962043697693524,13.49180769692298,70.77022344940451,3.803003773326054,2.1235081903954693,1.6794955829305849,0.019348292920679633,1.2410728350988176,1.438798653585195,0.0,0.26682828933106606,0.05345655618776379,1.8551413623689896,0.10398169816070535
CHI,150,-1477.9385377237527,9c092d7e3a6c2deb89a2,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/9c092d7e3a6c2deb89a2/final.xyz,-927420.4344113611,2.7417797224570606,13.849909943302205,74.40256695207817,0.0,-49.444090306917396,-0.8210489835624675,16.04678541088127,13.583015901808619,70.35891864004746,3.292878201813437,1.712203381038421,1.580674820775016,0.021109996276490683,1.2025178744628402,0.9347002824135444,0.0,0.13967677417658564,0.13424497236363808,1.939883075556736,0.19518990304634443
CHI,165,-1477.939750845474,627913490138c9fd14b4,TSL_RSH_TORSIONDRIVE_BACKUP/results/CHI/candidates/627913490138c9fd14b4/final.xyz,-927421.1956567344,2.7334344847772547,13.710563602451655,73.83559488145006,0.0,-49.533341242187994,-0.7687558218907113,16.10578897194676,13.65993013058878,69.74321500713582,2.531632828526199,1.0964997481267744,1.4351330803994244,0.0127647585966848,1.0631715336122909,0.36772821178543325,0.0,0.050425838905987064,0.1865381340353942,1.9988866366222275,0.27210413182650584
PHI,-180,-1477.9241046089987,4a40d6e4c9e115d1a3b9,results/PHI/candidates/4a40d6e4c9e115d1a3b9/final.xyz,-927411.3774951138,3.094799634795656,17.032756806803206,78.42479895638355,0.0,-48.08305172222327,4.349856941430846,13.859531606214947,14.970277889265944,83.64897011267088,12.297421019291505,14.84626712290239,-2.5488461036108845,0.33840791232535095,3.5753420389679924,4.507914477828123,0.0,4.196087193109946,5.044423149043656,0.410745386898995,1.5806938171325449
PHI,-165,-1477.924551383645,2c3c895f210789f5833d,results/PHI/candidates/2c3c895f210789f5833d/final.xyz,-927411.657850437,2.888692052412292,16.618051107193285,80.02653574372637,0.0,-48.24572753535837,3.9359707522900496,13.857902131269505,14.865811569977835,83.94723582151096,12.01706569606904,15.144532831742467,-3.1274671356734274,0.13230032994198693,3.1606363393580708,6.109651265170939,0.0,4.033411379974844,4.630536959902859,0.40911591195355257,1.4762274978444356
PHI,-150,-1477.924346949788,08427ce4bdf6f6c9d08c,results/PHI/candidates/08427ce4bdf6f6c9d08c/final.xyz,-927411.5295662549,2.7734877597076535,16.799877424600364,80.48955937986199,0.0,-48.30598747809082,3.9487505944732346,13.741165348155846,14.635999911925044,84.0828529406333,12.145349878119305,15.28014995086481,-3.134800072745506,0.017096037237348316,3.34246265676515,6.572674901306556,0.0,3.973151437242393,4.643316802086044,0.2923791288398938,1.246415839791645
PHI,-135,-1477.9244372711948,1e97524cf1d5e51c1360,results/PHI/candidates/1e97524cf1d5e51c1360/final.xyz,-927411.5862437934,2.756391722470305,17.243224804442548,79.14737080054613,0.0,-48.20277384018613,2.8895669907023276,13.448786219315952,14.361813713843969,81.64438041113509,12.088672339683399,12.841677421366597,-0.7530050816831988,0.0,3.7858100366073337,5.230486321990696,0.0,4.076365075147081,3.5841331983151368,0.0,0.9722296417105696
PHI,-120,-1477.928712237524,c493fb0d694458ebe2d9,results/PHI/candidates/c493fb0d694458ebe2d9/final.xyz,-927414.2688256659,2.7879345217555302,17.80112325860065,77.71658890400558,0.0,-48.22966917656717,1.2977766756995925,13.592478328927207,14.059931318614147,79.02616383103555,9.40609046712052,10.223460841267055,-0.8173703741465346,0.031542799285225076,4.343708490765437,3.7997044254501446,0.0,4.049469738766042,1.9923428833124017,0.1436921096112549,0.6703472464807483
PHI,-105,-1477.9351127595178,04a362c18479f5cdda2e,results/PHI/candidates/04a362c18479f5cdda2e/final.xyz,-927418.2852138557,2.776124999027757,16.780394035009206,76.0774520235725,0.0,-48.43953173920704,0.5162013926699134,13.92652302440446,13.641396762888245,75.27856049836505,5.389702277374454,6.475857508596562,-1.0861552312221079,0.019733276557451607,3.3229792671739915,2.1605675450170736,0.0,3.8396071761261723,1.2107676002827228,0.477736805088508,0.25181269075484636
