compound_id,smiles,status,failure_category,failure_detail,our_heavy,meeko_heavy,matched_heavy,atoms_match,our_total_charge,meeko_total_charge,total_charge_delta,charge_mad,type_agreement,torsdof_ours,torsdof_meeko,torsdof_delta,rotors_ours,rotors_meeko,rotors_matched,max_coord_delta
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,-0.0002,0.0010,0.0012,0.0330,1.0000,5,5,0,5,5,4,0.0010
04409cd7-f480-4de7-a3b3-01d56d76a650,COc1cc(C#N)ccc1S(=O)(=O)Nc1ccc2c(c1)cc(C)c(=O)n2C,OK,,,27,27,27,true,-0.0002,0.0010,0.0012,0.0330,1.0000,5,5,0,5,5,4,0.0010
047351c7-6a69-421e-945c-0a7f903527ef,O=C(O)[C@H](Cc1c[nH]c2ccccc12)N1C(=O)C=CC1=O,OK,,,21,21,21,true,-0.0003,-0.0010,0.0007,0.0293,1.0000,4,5,1,4,5,1,0.0010
04742d55-e821-4e98-8275-aaf7ec3d2c47,CN1CCC(Cc2noc([C@](C)(O)C(F)(F)F)n2)CC1,OK,,,20,20,20,true,0.0000,0.0010,0.0010,0.0295,1.0000,4,5,1,4,5,3,0.0010
0496f3c6-a864-4ba4-8530-6180fbee7729,CCN(c1cc(Cl)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)[C@H]1CC[C@H](C(=O)N2CCCC2)CC1,OK,,,37,37,37,true,0.0001,-0.0030,0.0031,0.0372,1.0000,7,7,0,7,7,3,0.0010
04b1766e-6892-463e-a444-3fd0b46b28c9,CN(C)C[C@@H]1COCCN(Cc2cc(C(C)(C)C)[nH]n2)C1,OK,,,21,23,21,false,0.0005,-0.0010,0.0015,0.0516,0.9048,5,5,0,5,11,5,0.0000
04bc64a4-4eec-44fe-884b-e269b934ad6a,CCc1nnc(CN2CCOC[C@@H]2[C@@H]2CCCC[C@H]2O)o1,OK,,,21,21,21,true,-0.0004,-0.0010,0.0006,0.0448,1.0000,4,5,1,4,5,2,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,0.0002,0.0020,0.0018,0.0435,1.0000,1,3,2,1,3,1,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,0.0002,0.0020,0.0018,0.0435,1.0000,1,3,2,1,3,1,0.0010
04d8fe5c-f67d-4611-b89f-0f1431ecd879,C[C@]1(O)CCOC2(CCN(c3ccc(F)cc3)CC2)[C@@H]1O,OK,,,21,21,21,true,0.0002,0.0020,0.0018,0.0435,1.0000,1,3,2,1,3,1,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,0.0001,-0.0020,0.0021,0.0424,1.0000,4,4,0,4,4,3,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,0.0001,-0.0020,0.0021,0.0424,1.0000,4,4,0,4,4,3,0.0010
04f979b5-53f6-4101-947a-7140f8b0f08d,COc1ccccc1C(=O)Nc1cc2c(cc1N1CCCC1)n(C)c(=O)n2C,OK,,,28,28,28,true,0.0001,-0.0020,0.0021,0.0424,1.0000,4,4,0,4,4,3,0.0010
05291619-3a2f-45f6-b578-248608ada24b,C=CC(=O)N(C)[C@H]1CCN(c2cc(OC)cc(OC)c2)C1,OK,,,21,21,21,true,0.0003,-0.0010,0.0013,0.0593,1.0000,5,6,1,5,6,4,0.0010
