artifact_id,minimum,role,domain,qm_energy,predicted_energy,energy_error,global_force_rms,sulfur_local_force_rms,baseline_global_force_rms,baseline_sulfur_local_force_rms,S_C,S_H,ANGLE_9_10_26,ANGLE_11_10_26,ANGLE_10_26_56,CHI_SHSC,PHI_SC,PSI_BACKBONE,partition
TSLRSH-GPU-052,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927411.0287238638,-927411.6550063705,-0.6262825067387894,9.609271093563212,9.089868345510853,9.80282441129124,10.436792369394228,-16.54842603011927,-4.554624113826972,-7.232222896138079,14.05933821021442,4.451762642005638,0.49754678661175805,11.905153330850471,-15.209299889915336,TRAIN
TSLRSH-GPU-056,MIN04,REPULSIVE_STABILITY,STABILITY_GUARD,-927349.3449305275,-927343.9616716832,5.383258844260126,13.176689513121744,8.69718447519745,13.511540733724653,11.755727247296585,-4.541159355979412,3.4461442957891517,-4.6979218879404,7.764435333611728,-7.467507898900466,5.296449840877055,1.3224016302384012,-5.971715958301231,TRAIN
TSLRSH-GPU-058,MIN04,REPULSIVE_STABILITY,STABILITY_GUARD,-927374.5317411041,-927378.527197021,-3.995455916854553,11.516856838050337,9.32319562210347,11.92623582525391,12.413772324638872,-21.5319211270842,1.0674551550190483,0.8066391657104509,15.408421352444318,4.475227833720047,-3.661925944535637,-1.687527832432159,5.703323663453103,TRAIN
TSLRSH-GPU-059,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927327.0749016798,-927327.5939768662,-0.519075186457485,20.849787022608876,46.06231520455728,21.53052587832774,48.204630088491776,-7.447464432332171,-3.1546306955339825,-18.14994010289376,-6.989107124375124,5.710128474371771,8.00011881401718,10.737250766804136,15.805529248777104,TRAIN
TSLRSH-GPU-060,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927333.190833418,-927337.5909523,-4.400118881952949,17.641638147285914,35.14136770289146,18.317594782024855,37.48418197827796,3.7985501115253837,4.146546885058751,-15.890178205710212,-15.42034164527879,5.810348671576734,-0.27083827970122637,14.974927463476927,-17.689595482375395,TRAIN
TSLRSH-GPU-001,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927371.3309765671,-927373.8968336653,-2.565857098205015,12.881536985702942,19.335229449610978,11.574730482914863,12.252911177989631,3.2226124448435036,-24.49456154633053,-1.4074482679796483,-67.21228024379575,51.80338559183756,-51.84764702717688,50.83080214657182,-9.685435355360365,VALIDATION
TSLRSH-GPU-012,MIN01,SULFUR_ORIENTATION,EXTENDED_BOUND_DOMAIN,-927402.695374534,-927408.770658278,-6.0752837440231815,10.670505107228399,11.671222474741564,10.823572394881477,12.619338931254836,-4.8494249188471,5.458455259280372,2.3965739879601906,-13.03295139663336,13.467059476722866,5.904161590387125,11.221642659653325,-0.16650509600210237,VALIDATION
TSLRSH-GPU-019,MIN01,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927383.0655152167,-927381.4580073471,1.6075078696012497,11.358735232302736,15.263234207271541,10.766092879491895,11.88198414205548,13.232049899571807,13.891552359189925,5.634091811544227,-48.74336226613931,-21.8800334618243,-35.362271653614144,45.67394284781862,-16.256118025403982,VALIDATION
TSLRSH-GPU-021,MIN02,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927275.8795147784,-927266.8242110797,9.055303698638454,18.916607142168953,27.57464289745255,19.282383464348595,29.294486426411666,6.424016379514558,-4.850684178043255,15.296054030499441,-38.70488003490952,-14.744358672696366,20.762333893399166,-16.50938646647262,28.59800183772211,VALIDATION
TSLRSH-GPU-023,MIN02,S_H_LOCAL_DISTORTION,EXTENDED_BOUND_DOMAIN,-927400.3905794591,-927391.9593283396,8.431251119589433,14.6190241874526,30.13428623841311,15.628239718659648,33.492644963821256,-2.4661297671563758,-141.40081675300948,4.793508404210079,39.28195985415885,36.114366802692345,12.00743266430468,-30.004080864347053,9.811443121384954,VALIDATION
TSLRSH-GPU-025,MIN02,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927411.227679355,-927382.3760150869,28.85166426806245,10.94180073794785,11.776726816158517,10.677074006984713,9.931245452315363,-3.033822712687295,-4.172296714823343,12.33133701588851,8.371123484842427,3.8157795780258095,33.295581703503025,-7.221196740729007,17.84457973026039,VALIDATION
TSLRSH-GPU-032,MIN02,REPULSIVE_STABILITY,STABILITY_GUARD,-927395.3069740782,-927391.9310179205,3.3759561576880515,10.431551558619535,10.184090337777148,10.411021853688856,10.035957992785297,-7.892107838184112,-0.6221032075666252,4.978016785364022,11.932387514899702,4.471356011505567,7.024285937618237,-10.337004639552605,21.84499798850436,VALIDATION
TSLRSH-GPU-048,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927398.2658530438,-927371.6227541873,26.643098856438883,11.391485735408938,11.30252964456608,11.068653150026707,8.774458583598813,-9.096689515730136,-4.0946714876337325,3.2053640609655827,-2.005685544615115,10.473680535924048,13.051271924049246,-3.5605865522872073,25.26845018611675,VALIDATION
TSLRSH-GPU-053,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927326.1185361394,-927324.0457096465,2.0728264928329736,21.572238630531913,47.305450796857485,19.03245850245613,38.934774365592666,20.89910679648102,-29.698889364471565,0.9404069298676022,-3.4021117255144455,73.30784545350458,-140.16630280294385,139.15260961803423,-106.56714075809593,VALIDATION
TSLRSH-GPU-054,MIN04,TORSIONAL_TRANSITION,EXTENDED_BOUND_DOMAIN,-927375.705924162,-927384.7288314607,-9.022907298756763,12.950056922880071,22.778188782300102,12.272900006028864,19.982156689585516,-24.48747485661447,-10.01175780089851,27.257399273003607,9.542032147560578,29.361297599066436,29.145688869245326,-72.04761060527504,49.49041084506009,VALIDATION
TSLRSH-GPU-055,MIN04,LOW_ENERGY_CONFORMER,CORE_EQUILIBRIUM,-927403.2227493697,-927401.8556479216,1.367101448122412,9.870295118877687,13.11726610720564,9.056139691099899,8.01244361752805,-26.072488534437525,0.21007121922483257,14.161907155107281,11.193628861236501,16.269279363798752,46.52668774301717,12.85574327271868,-18.99672571130378,VALIDATION
TSLRSH-GPU-002,MIN01,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927249.4351605177,-927220.7091871164,28.725973401335068,23.001370697522262,21.425718250615756,23.53033879826393,25.12683689859336,-23.863667781264688,-2.887535046876533,21.025602743341743,28.700110006040052,9.921746629181177,17.918714412954518,33.82105932886854,-52.43799402658293,STRESS_TEST
TSLRSH-GPU-003,MIN01,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927281.2662327978,-927269.8096842004,11.456548597314395,22.783582051878483,22.455263641077636,23.039090555349354,24.211473369265725,-17.269296717119136,-7.774718265492392,-16.14722680394262,14.46111997790403,41.12107736284933,0.26742416680735914,17.613836765904328,-18.82824835277073,STRESS_TEST
TSLRSH-GPU-005,MIN01,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927274.9425285175,-927263.2527952789,11.689733238541521,21.946113043329422,21.841212563198464,21.925619324192713,21.6966564590619,-9.092907453957924,9.001031825612296,-5.361039074942026,54.69044861823441,-8.582971531068996,36.93531903875441,-36.80574554531771,32.89382070213649,STRESS_TEST
TSLRSH-GPU-009,MIN01,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927359.0396933089,-927357.7086643921,1.3310289167566225,13.975058355698271,11.923368834884288,14.019901541056122,12.28635041836428,0.46539490087743945,0.971046168087812,0.8229855610647288,13.66627757937575,4.901589901771266,16.638391636457648,-7.612632338056195,15.70986379698759,STRESS_TEST
TSLRSH-GPU-011,MIN01,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927335.9212845863,-927337.4275098859,-1.5062252995558083,15.711672171970921,18.003749579143157,15.651912909106052,17.635621503984027,-23.711213519366336,3.4423309382669625,3.5334461196769094,32.44378647595718,8.262334760286228,13.937366084260285,-1.2099700209716213,9.490792936662013,STRESS_TEST
TSLRSH-GPU-022,MIN02,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927255.0230735063,-927261.2387951446,-6.215721638291143,19.04631604929582,24.573568804938702,19.070866939137684,24.70649629420318,18.44497848053446,1.7704976871044227,-25.39345381224249,-38.22489744672087,-26.480744569310254,-44.752099537819525,37.497908204127256,21.41128750933128,STRESS_TEST
TSLRSH-GPU-024,MIN02,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927221.1128400726,-927182.0990583097,39.01378176291473,23.912804536750592,16.535854723549697,23.974426483859943,17.14907642873217,-23.734631814676337,-3.664890642049967,4.179552435750255,11.55673493901738,17.856047488765025,-3.922406358348745,0.21686221005276335,5.153445655386385,STRESS_TEST
TSLRSH-GPU-042,MIN04,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927212.3717997662,-927221.0482879401,-8.676488173892722,24.70897998918352,20.89065479088642,24.192035722494825,16.107940887653648,-42.52000904988422,7.019917626871243,-3.7849032364298933,45.358034179821885,-7.07017107544092,31.56449350886685,13.28033343255709,-46.612507536217215,STRESS_TEST
TSLRSH-GPU-044,MIN04,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927230.0460890171,-927244.2403241454,-14.194235128350556,24.931486190571295,17.31930731597373,24.808694490900685,16.03760071240496,-6.41716728999139,-14.101563657707333,-37.98498421915176,-22.64681878596387,55.31506749368227,-10.400669352489208,26.47394593659205,21.361928064904653,STRESS_TEST
TSLRSH-GPU-057,MIN04,HIGH_STRAIN_STRESS_TEST,STRESS_TEST_ONLY,-927309.2904722402,-927312.8811865282,-3.5907142880605534,17.479624877976597,16.21421657286912,17.1024845669188,13.09979642896504,-46.04526765613909,-10.045673110490874,-6.353688318541724,2.8019078678372,51.857577117744064,-17.492343586816013,11.574338662891257,28.692007118464886,STRESS_TEST
