condition,enantiomer,family,population,status,representative_source,representative_model,representative_source_sha256,superpocket_atom_fraction,sam_compatibility,sam_min_distance_A,engine_score_min,engine_score_mean,engine_score_max,scientific_score_interpretation
7A_F43L_F199G_SAM_BOUND,S,8,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s42.pdbqt,7,a6aaf67f55df8d5189ec3c2952c6fde9b755ed7035a15665066b61c27e65c141,1.0,compatible,3.4395915455181587,-5.665,-5.6625,-5.66,NONE
7A_F43L_F199G_SAM_BOUND,S,9,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s1.pdbqt,7,efb846783f9d07cb8af80472271cc95f5ccf5a59b065dcd44bc439250d23af1f,1.0,compatible,3.8080803562950187,-5.7,-5.7,-5.7,NONE
7A_F43L_F199G_SAM_BOUND,S,10,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s7.pdbqt,6,d0a2fe2ed358145d03b64c386c9bcd6e2d90d8ebc8dc2135431234e80d368963,0.7272727272727273,compatible,6.5395355339656955,-5.829,-5.829,-5.829,NONE
7A_F43L_F199G_SAM_BOUND,S,11,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s7.pdbqt,8,d0a2fe2ed358145d03b64c386c9bcd6e2d90d8ebc8dc2135431234e80d368963,1.0,compatible,6.091149152664053,-5.668,-5.668,-5.668,NONE
7A_F43L_F199G_SAM_BOUND,S,12,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7A_F43L_F199G_SAM_BOUND_S_s42.pdbqt,8,a6aaf67f55df8d5189ec3c2952c6fde9b755ed7035a15665066b61c27e65c141,1.0,compatible,3.789976517077645,-5.642,-5.642,-5.642,NONE
7B_G199F_SAM_BOUND,R,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s42.pdbqt,1,d6c3d1cfac72c42346752df39aad0e86b387408a88b076d7bb8fd9914f31cfe4,1.0,compatible,3.404395100454705,-4.685,-4.664666666666666,-4.641,NONE
7B_G199F_SAM_BOUND,R,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s1.pdbqt,2,5aba8a548ed35ae6428df3c3abf57d4fb49fca82ee180974bad065c2f532e0c7,1.0,compatible,3.435019941717952,-4.666,-4.554333333333333,-4.35,NONE
7B_G199F_SAM_BOUND,R,3,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s7.pdbqt,2,64dc1b79983fca77509f2976fdce182905867ab7e04b6abf635dfd7009a879cb,1.0,compatible,3.310945786327526,-4.636,-4.632666666666666,-4.628,NONE
7B_G199F_SAM_BOUND,R,4,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s7.pdbqt,3,64dc1b79983fca77509f2976fdce182905867ab7e04b6abf635dfd7009a879cb,1.0,compatible,2.8981038628731026,-4.526,-4.5200000000000005,-4.509,NONE
7B_G199F_SAM_BOUND,R,5,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s1.pdbqt,5,5aba8a548ed35ae6428df3c3abf57d4fb49fca82ee180974bad065c2f532e0c7,1.0,compatible,3.619108315593773,-4.173,-4.15,-4.127,NONE
7B_G199F_SAM_BOUND,R,6,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s7.pdbqt,5,64dc1b79983fca77509f2976fdce182905867ab7e04b6abf635dfd7009a879cb,1.0,compatible,2.9562669027000923,-4.264,-4.224,-4.184,NONE
7B_G199F_SAM_BOUND,R,7,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s1.pdbqt,8,5aba8a548ed35ae6428df3c3abf57d4fb49fca82ee180974bad065c2f532e0c7,1.0,compatible,3.2447204810276036,-3.993,-3.993,-3.993,NONE
7B_G199F_SAM_BOUND,R,8,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_R_s42.pdbqt,7,d6c3d1cfac72c42346752df39aad0e86b387408a88b076d7bb8fd9914f31cfe4,0.5454545454545454,compatible,6.31418759619953,-4.142,-4.142,-4.142,NONE
7B_G199F_SAM_BOUND,S,1,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s42.pdbqt,1,755cef8459826e5a2cd6e82a114e6343141963f599dbb3c4cb1bbb5b3dd2fa61,1.0,compatible,3.088026878121367,-4.523,-4.506333333333333,-4.487,NONE
7B_G199F_SAM_BOUND,S,2,3,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s42.pdbqt,3,755cef8459826e5a2cd6e82a114e6343141963f599dbb3c4cb1bbb5b3dd2fa61,1.0,compatible,3.4264188302074228,-4.38,-4.361,-4.349,NONE
7B_G199F_SAM_BOUND,S,3,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s7.pdbqt,1,f8f4696f25a488bbcaa52005264e1a0de154fe044055253b118521a0eec083d0,1.0,compatible,3.5141863923246874,-4.866,-4.853,-4.84,NONE
7B_G199F_SAM_BOUND,S,4,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s1.pdbqt,2,1b460f2a6e7cbdad6239738b3fa857185e13f01b1c6e1b3ed88b2dca34c355e3,1.0,compatible,3.258307843037548,-4.657,-4.6419999999999995,-4.627,NONE
7B_G199F_SAM_BOUND,S,5,2,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s1.pdbqt,3,1b460f2a6e7cbdad6239738b3fa857185e13f01b1c6e1b3ed88b2dca34c355e3,1.0,compatible,3.3489298290648017,-4.626,-4.567500000000001,-4.509,NONE
7B_G199F_SAM_BOUND,S,6,1,ACCEPTED_ON_SITE_SAM_BOUND,analysis/dcmb/controlled_campaign/raw/7B_G199F_SAM_BOUND_S_s1.pdbqt,9,1b460f2a6e7cbdad6239738b3fa857185e13f01b1c6e1b3ed88b2dca34c355e3,1.0,compatible,2.9785464575863174,-4.005,-4.005,-4.005,NONE
